atlas,roi_pos_id,roi_name,subgroup,placebo_change,verum_change,interaction
nonself,284,L_IP1_ROI,Frontoparietal,0.06039543766223332,-0.009005769148610288,-0.06940120681084361
nonself,65,R_44_ROI,Frontoparietal,0.19895328604579232,0.12358621689151539,-0.07536706915427693
nonself,234,L_a9-46v_ROI,Frontoparietal,0.17853360061014945,0.09863751820772482,-0.07989608240242463
nonself,15,R_POS2_ROI,Frontoparietal,0.1475266874218688,0.06196625309750514,-0.08556043432436367
nonself,216,L_8BM_ROI,Frontoparietal,0.1566296202451718,0.0440250332302452,-0.1126045870149266
nonself,116,R_TE1p_ROI,Frontoparietal,0.11631648083587276,0.0027172224508360543,-0.1135992583850367
nonself,223,L_8C_ROI,Frontoparietal,0.17584141034069178,-0.0011950195988301715,-0.17703642993952196
nonself,70,R_IFSp_ROI,Frontoparietal,0.1302455675052432,-0.05672603811873067,-0.18697160562397386
nonself,231,L_IFSa_ROI,Frontoparietal,0.15050177994025038,-0.06231194038587384,-0.21281372032612422
nonself,306,L_p10p_ROI,Frontoparietal,0.14785333080778473,-0.08175054838725293,-0.22960387919503766
nonself,269,L_STSda_ROI,Language,-0.13084436200209382,0.20378886255939532,0.33463322456148914
nonself,112,R_STSdp_ROI,Language,-0.16554781206644975,0.1475658489490641,0.31311366101551386
nonself,225,L_45_ROI,Language,-0.14535126311263813,0.008846328768539191,0.15419759188117732
nonself,66,R_45_ROI,Language,-0.0483651461751573,0.08517532753086376,0.13354047370602107
nonself,278,L_TPOJ1_ROI,Language,0.025574545310653285,0.14248869393200359,0.1169141486213503
nonself,266,L_A5_ROI,Language,0.10684630385078098,0.17123580356489265,0.06438949971411168
nonself,270,L_STSdp_ROI,Language,0.035494834338276604,0.06781528409453363,0.03232044975625703
nonself,186,L_STV_ROI,Language,0.04460155953769407,0.07580856355919563,0.03120700402150156
nonself,228,L_IFJa_ROI,Language,0.11001808682825276,0.13659578247891213,0.026577695650659372
nonself,108,R_A5_ROI,Language,-0.05852445693765418,-0.05022530401199843,0.00829915292565575
nonself,184,L_SFL_ROI,Language,0.05225530675728862,0.03384414002056291,-0.018411166736725715
nonself,170,L_55b_ROI,Language,0.09610978683655924,0.06798561277490212,-0.028124174061657126
nonself,24,R_SFL_ROI,Language,0.09513734146688968,0.036300160660168945,-0.058837180806720735
nonself,12,R_55b_ROI,Language,0.1661589304291886,0.10694204172240118,-0.05921688870678743
nonself,183,L_PSL_ROI,Language,0.024738927210542716,-0.07579135349529142,-0.10053028070583414
nonself,121,R_TPOJ1_ROI,Language,0.14491326513446623,0.01991184749183672,-0.1250014176426295
nonself,230,L_IFSp_ROI,Language,0.05606229263277962,-0.07640141205038953,-0.13246370468316915
nonself,224,L_44_ROI,Language,0.2577625266113466,-0.07469469065389456,-0.33245721726524113
nonself,97,R_AAIC_ROI,Orbito-Affective,0.12480129636570236,0.031007348997230455,-0.09379394736847191
nonself,123,R_TPOJ3_ROI,Posterior-Multimodal,0.15512521961307524,0.28296121218748915,0.12783599257441391
nonself,280,L_TPOJ3_ROI,Posterior-Multimodal,0.12501134322423235,0.14595776337436428,0.020946420150131928
nonself,25,R_PCV_ROI,Posterior-Multimodal,0.11759851621302753,0.09517439733569422,-0.02242411887733331
nonself,185,L_PCV_ROI,Posterior-Multimodal,0.13902302480559348,-0.00982074492686369,-0.14884376973245717
nonself,279,L_TPOJ2_ROI,Posterior-Multimodal,0.2081072605221741,0.04319037695930339,-0.1649168835628707
nonself,26,R_STV_ROI,Posterior-Multimodal,0.18924999422231448,-0.051421187225283216,-0.2406711814475977
nonself,122,R_TPOJ2_ROI,Posterior-Multimodal,0.3248350693354052,-0.02257724763065827,-0.34741231696606345
nonself,49,R_6mp_ROI,Somatomotor,0.01715189214069346,0.17245521284037357,0.15530332069968011
nonself,8,R_4_ROI,Somatomotor,-0.05016145137842365,0.08194624148059582,0.13210769285901947
nonself,92,R_RI_ROI,Somatomotor,-0.06058372791045219,0.06900527858430383,0.12958900649475602
nonself,258,L_FOP2_ROI,Somatomotor,-0.009468012281150351,0.09817012500631428,0.10763813728746463
nonself,247,L_OP1_ROI,Somatomotor,0.04333857483445058,0.14527333977634793,0.10193476494189735
nonself,89,R_OP1_ROI,Somatomotor,0.164981752357797,0.2585094971659667,0.09352774480816972
nonself,100,R_FOP2_ROI,Somatomotor,-0.034666858254053246,0.04112762155115712,0.07579447980521037
nonself,167,L_4_ROI,Somatomotor,-0.058866435495017466,0.0027887522659737485,0.061655187760991215
nonself,206,L_2_ROI,Somatomotor,-0.04934442479715173,0.006638815245687102,0.05598324004283883
nonself,45,R_1_ROI,Somatomotor,0.1131760298347464,0.15485694440218722,0.04168091456744083
nonself,305,L_Ig_ROI,Somatomotor,0.09985928484143658,0.10084814488989835,0.0009888600484617704
nonself,207,L_3a_ROI,Somatomotor,-0.005070478201483208,-0.019524088847268306,-0.014453610645785098
nonself,90,R_OP2-3_ROI,Somatomotor,0.07297312182755267,0.05433447164314753,-0.018638650184405137
nonself,147,R_Ig_ROI,Somatomotor,0.1472801848820393,0.12413512972798557,-0.02314505515405374
nonself,208,L_6d_ROI,Somatomotor,0.18167658815293652,0.14605475240546673,-0.0356218357474698
